rno,1,2,3,4,5,6,7,8
0808CS161022,8.5,7.46,6.5,6.88,7.38,7.81,8.25,
0808CS161023,8.04,7.58,7.5,7.06,7.75,7.44,8.19,
0808CS161024,8.92,8.23,8.5,8,7.81,7.88,8.63,
0808CS161025,8.69,8.31,8.25,8.06,7.88,8.5,8.25,
0808CS161027,6.08,7.15,5.56,6.06,6.25,7.06,7.25,
0808CS161028,8.42,8.31,8.38,7.56,7.94,8.19,8,
0808CS161029,8.54,5.92,7.69,8.38,8.06,8.63,8.19,
0808CS161030,5.54,6.08,5.5,6.56,6.94,7.25,7,
0808CS161031,8.81,8.88,8.25,7.94,8.94,8.94,9.06,
0808CS161032,8.12,8.04,7.38,7.56,8.06,8.19,8.81,
0808CS161033,7.12,6,3.13,4.31,4.88,4.81,6.19,
0808CS161034,7.81,7.96,7.38,7.63,7.81,7.75,8.13,
0808CS161035,9,8.92,8.25,8.31,9,8.5,9,
0808CS161036,8.15,8.15,7.31,7.31,7.88,7.63,8.19,
0808CS161038,8.69,8.35,8.06,7.63,8.19,7.75,8.5,
0808CS161040,6.62,7.04,6.88,6.94,7.44,7.06,7.75,
0808CS161041,6.42,6.5,3.88,2.94,,,,
0808CS161042,8.69,8.15,7.75,7.69,8.38,8.19,8.31,
0808CS161043,8.77,7.54,6.75,7.19,7.5,7.31,8.44,
0808CS161044,8.15,7.81,6.25,6.44,6.81,6.5,6.94,
0808CS161045,2.69,,,,,,,
0808CS161046,8.92,8.77,8.56,7.88,7.94,7.81,8.13,
0808CS161047,8.58,7.88,7.13,7.94,7.69,7.5,8.06,
0808CS161048,8.42,8.15,7.63,6.94,7.31,6.88,7.5,
0808CS161049,7.96,6.85,7.06,7.25,8.13,7.38,7.81,
0808CS161050,8.62,8.77,8.06,7.81,8.25,8.19,8.44,
0808CS161051,9.5,9.54,8.81,8.94,8.69,9,9.19,
0808CS161052,8.38,7.85,7.81,7.69,7.38,7.13,7.5,
0808CS161053,7.31,6.73,6.56,7,6.69,7,7.5,
0808CS161054,7.81,7.69,7.44,6.88,6.88,6.75,7.63,
0808CS161055,7.69,6.62,6.63,5.75,6.06,6.25,6.19,
0808CS161056,8.58,8.12,7.44,7.44,7.5,7.31,8,
0808CS161057,6.08,6.35,5.88,4.19,5.44,3.88,6.06,
0808CS161058,7,7.19,6.44,6.19,5.88,6.5,6,
0808CS161059,6.77,7.46,6,6.06,6.19,6.44,7.81,
0808CS161060,8.58,8.31,7.75,7.44,7.44,7.94,8.13,
0808CS161061,9.08,8.92,8.13,7.81,8.06,7.56,8.69,
0808CS161063,8.62,8.38,7.63,7.31,7.44,8,8.38,
0808CS161064,9.23,9.08,9,8.81,8.44,8.75,9,
0808CS161065,7.19,6.19,6.5,5.94,4.81,6.69,7.31,
0808CS161066,4.69,5.77,5.63,6.56,,,,
0808CS161067,8.27,7.92,7.56,6.75,7,7.56,7.44,
0808CS161068,8.31,8.5,8.25,7.5,6.75,7.63,7.88,
0808CS161069,8.19,7.92,7.31,7.69,7.38,7.31,7.63,
0808CS161070,8.77,9.04,8.38,7.63,8.06,8.31,8.31,
0808CS161071,8.73,9.27,8.31,8.13,8,8.5,8.5,
0808CS161072,4.92,4.96,2.69,5.94,7.06,7.56,8.25,
0808CS161073,6.35,6.5,4.31,5.06,6,6.81,7.06,
0808CS161074,8.42,8.12,7.75,7.5,7.88,7.88,8.06,
0808CS161075,6.31,7.92,7,6.81,6.75,6.56,7.19,
0808CS161076,5.54,6.35,5.44,5.94,6.31,6.56,7.31,
0808CS161077,6.88,7.58,6.69,6.25,6.88,7.5,7.94,
0808CS161078,9.12,8.54,7.69,7.75,7.06,7.19,8.25,
0808CS161079,5.65,6.08,4.63,5.56,6,5.81,6.38,
0808CS161080,9.08,8.65,7.25,7.31,7.31,8,7.94,
0808CS161082,7.35,7.19,6.13,6.63,7.13,7.25,7.5,
0808CS161083,7.58,8.04,7.56,7.44,6.88,8.06,8,
0808CS161084,8.04,8.5,7.69,7.56,7.75,8.06,8.5,
0808CS161085,8.65,8.69,7.88,7.69,8,8.31,8.81,
0808CS161086,8.35,9.04,8.56,8.25,8,7.94,8.31,
0808CS161087,8.54,8.5,8.06,8.06,8.19,8.56,8.75,
0808CS161088,5.77,,,,,,,
0808CS161089,6.77,6.77,5.75,6.75,6.25,7.13,7.5,
0808CS161090,8.85,8.69,7.94,7.81,8.06,8.5,8.44,
0808CS161091,9.04,8.31,8.31,7.75,7.69,7.88,7.94,
0808CS161092,8.31,8.12,8.13,7.56,7.75,8.5,8.44,
0808CS161093,7.54,7,6.63,6.06,6.06,7.56,7.31,
0808CS161094,8.42,8.62,7.38,7.38,8.56,8.44,8.38,
0808CS161095,8.77,8.42,7.81,7.94,7.94,8.25,8.19,
0808CS161096,7.04,6.81,5.44,6.88,6.88,7.13,6.88,
0808CS161097,7.85,7.5,7.5,6.75,7.44,7.25,7.13,
0808CS161098,7.88,6.27,,,,,,
0808CS161099,6.92,5.62,6.81,5.81,5.25,6,6.94,
0808CS161100,8.27,7.42,7,6.56,6.56,6.75,7.38,
0808CS161101,6.62,5.73,,,,,,
0808CS161102,5.77,4.5,3.38,6.31,,,,
0808CS161103,8.38,8.58,8,7.81,7.88,8.5,8.31,
0808CS161104,7.77,,,,,,,
0808CS161105,6.77,5.15,3.81,4.38,4.31,4.56,6.06,
0808CS161106,8.54,8.81,7.94,7.13,7.19,7.75,7.56,
0808CS161107,8.31,8.62,8.19,8.19,8.19,7.81,8.5,
0808CS161108,8.15,8.38,7.75,7.5,7.06,7.94,8.19,
0808CS161109,7.35,7.88,6.56,6.69,6.69,7.38,7.63,
0808CS161110,8.12,7.5,6.75,6.69,6.5,7.75,7.81,
0808CS161111,8.35,8.42,7.69,7.13,6.94,8.31,8,
0808CS161112,5.88,5.31,3.25,6.25,6.13,6.31,5.63,
0808CS161113,8.81,8.54,8.94,8.75,8.13,8.69,8.56,
0808CS161114,5.58,5.04,3.13,,,,,
0808CS161115,7.54,7.46,6.88,7.25,6.5,7.31,7.44,
0808CS161116,8.58,8.77,7.31,7.31,7.44,7.94,8.19,
0808CS161117,7.27,6.85,5.69,6.63,,,,
0808CS161118,8.04,7.85,7.94,7.38,7,6.88,8,
0808CS161119,9.08,8.69,8.69,8.63,8.25,7.88,8.25,
0808CS161120,6.42,8.15,5.88,7,7.25,7.25,7.94,
0808CS161121,7.42,7.38,7,6.69,6.81,7.13,7.63,
0808CS161122,7.96,7.65,6.88,6.13,6.56,6.88,6.63,
0808CS161123,8.42,7.31,7.06,7.31,7,7.25,7.69,
0808CS161125,6.85,6.81,4.31,6.06,6.19,6.38,6.44,
0808CS161126,8.35,8.08,7.56,7.44,7.63,8.06,8.5,
0808CS161127,7.27,6.23,6.13,7.19,7.13,6.56,7.63,
0808CS161128,8.19,6.92,6.44,7.31,7.31,7.44,7.69,
0808CS161129,8.38,8.31,7.75,8.25,8.19,8.06,8.75,
0808CS161130,8.54,7.23,6.75,7.13,6.94,7.38,7.75,
0808CS161131,8.73,8.27,7.88,7.69,7.69,7.44,7.38,
0808CS161132,8.46,8.15,7.06,7.25,6.75,6.44,7,
0808CS161133,8.08,7.88,7.56,7.63,7.44,7.81,7.63,
0808CS161134,9.65,9.08,7.75,8.63,7.81,8,8.44,
0808CS161135,8.19,7.42,7.13,6.69,7.31,6.75,7.5,
0808CS161136,7.73,7.88,5.25,7.38,7.44,7.31,7.31,
0808CS161137,8.69,8.19,7.69,7.69,7.75,7.38,7.69,
0808CS161139,8.62,8.23,7.06,7.63,6.69,7.69,7.75,
0808CS161140,7.38,7.15,5.75,7.13,6.69,7.31,7.81,
0808CS161141,7.5,7.23,4.38,6.5,6.06,6.5,6.94,
0808CS161142,8.88,8.46,7.69,7.5,6.75,7,8,
0808CS161143,8.65,8.85,8.38,7.63,7.69,7.25,8.06,
0808CS161144,5.15,,,,,,,
0808CS161145,8.23,8.04,6.44,7.75,7.38,7.25,7.88,
0808CS161146,8.27,7.38,4.88,6.88,6.69,6.56,7.13,
0808CS161147,6.92,5.85,5.94,5.75,6.38,6.38,6.06,
0808CS161148,7.5,7.81,,,,,,
0808CS161149,7.23,7.15,5.75,6.63,6.5,6.75,6.69,
0808CS161150,8.54,7.27,7.06,7.5,7.88,7.38,7.88,
0808CS161151,8.23,7.12,7,6.94,6.44,6,6.63,
0808CS161152,6.73,6,4.69,7.06,6.81,7.13,7.75,
0808CS161153,8.5,7.92,6.69,7.06,6.75,6.69,6.81,
0808CS161154,8.65,7.92,7,6.81,6.44,6.81,6.81,
0808CS161155,8.81,8.88,8.44,8.13,8,7.56,7.63,
0808CS161156,8.58,8.31,7.94,7.69,7.94,7.81,7.88,
0808CS161157,4.96,5.15,3.31,6.25,7,7.13,7.44,
0808CS161159,6.23,6.85,5.25,6.06,5.88,6.13,5.88,
0808CS161160,6.58,6.5,6.13,7.38,7.19,6.94,7.5,
0808CS161161,8.23,8.38,7.75,8.06,8.5,7.88,8.56,
0808CS161162,9,8.35,8.63,8.5,8.13,8.19,8.31,
0808CS161163,7.69,5.23,5.75,6.56,6.88,6.94,6.81,
0808CS161164,8.85,7.81,7.19,7.19,7.75,7.13,7.56,
0808CS161165,9.12,8.38,8.25,8.06,8.13,7.38,7.94,
0808CS161166,8.35,7.23,7.38,7.44,7.13,7.06,7.88,
0808CS161167,7.88,6.96,7.06,7.63,6.19,7.13,6.75,
0808CS161168,7.5,7.19,7.06,7.75,6.81,6.75,7.13,
0808CS161169,8.54,8.04,7.25,7.19,6.69,6.94,7.56,
0808CS161170,8.69,8.73,8.31,8.13,8.5,8.44,8.38,
0808CS161171,8.27,8,8.44,8.63,8.25,8,8.56,
0808CS161172,8.96,7.69,7.56,7.81,8,7.69,7.81,
0808CS161173,8,7.15,7.56,7.38,7.31,7.06,7.56,
0808CS161174,8.19,6.5,7.19,7.38,6.75,6.44,6.81,
0808CS161175,8,7.69,7.94,7.44,7.81,7.5,8.13,
0808CS161176,8.96,8.42,8.94,8.63,8.31,8.19,8.31,
0808CS161177,7.65,6.73,5.75,7.25,6.94,7,7.44,
0808CS161178,8.85,7.81,8,7.69,8.19,7.94,8.44,
0808CS161179,7.92,6.12,6.63,6.75,6.06,6.81,7.31,
0808CS161180,8.5,7.69,7.56,6.81,6.81,6.94,7.06,
0808CS161181,8.65,7.46,7.25,7.81,7.69,7.25,7.88,
0808CS161182,8.5,7.92,7.5,7.88,8,7.75,7.75,
0808CS161183,8.92,8.12,7.31,7.38,8.06,7,7.94,
0808CS161184,8.65,7.73,6.81,7.44,7.44,6.94,7.81,
0808CS161185,7.81,7.54,6.69,7.31,7.25,6.94,7.44,
0808CS161186,8.15,8.04,7.75,7.38,7.31,7.56,7.25,
0808CS161187,8.92,8.42,7.25,8,7,7,8,
0808CS161188,8.12,8,7.81,8.13,8.31,8.06,8.13,
0808CS171001,7.13,6.73,8.25,8.42,8.92,,,
0808CS171002,6.53,5.93,6.58,7.25,7.79,,,
0808CS171003,7.73,7.6,8.42,8.08,8.75,,,
0808CS171004,7.87,7.33,7.79,7.92,8.38,,,
0808CS171005,7.93,6.6,6.58,6.58,7.21,,,
0808CS171006,7.73,7.2,6.88,7.38,8,,,
0808CS171007,4.73,3.33,6.33,,,,,
0808CS171008,7.53,7.67,7.79,7.54,8.29,,,
0808CS171009,6.27,6.73,6.83,7.25,7.88,,,
0808CS171010,7.6,7.53,7.21,7.25,7.67,,,
0808CS171011,4.67,,,,,,,
0808CS171012,4.67,4.2,5.58,,,,,
0808CS171013,6.87,6.53,5.96,6.54,6.92,,,
0808CS171014,4.27,4.67,4.67,3.79,5.08,,,
0808CS171015,6.6,6.73,8,7.75,8.29,,,
0808CS171016,5.8,5.73,5.92,6.54,6.96,,,
0808CS171017,6.27,,,,,,,
0808CS171018,8.73,8.27,8.21,8.21,8.71,,,
0808CS171019,8.07,7.4,8.17,7.29,8.21,,,
0808CS171020,6.8,6.6,7.71,7.58,7.88,,,
0808CS171022,3.07,,,,,,,
0808CS171023,6.6,6.47,6,6.21,6.75,,,
0808CS171024,5.07,4.8,6.25,6.96,7.54,,,
0808CS171025,7.67,6.47,8,7.38,8.29,,,
0808CS171026,8.2,7.73,8.08,7.92,8.29,,,
0808CS171027,6.67,6.73,7.25,6.96,7.96,,,
0808CS171028,8.6,8.07,8.58,7.63,8.92,,,
0808CS171029,8.2,7.73,7.75,7.38,8.63,,,
0808CS171030,8.2,6.07,7.88,7.71,8.58,,,
0808CS171031,7.13,6.47,7.42,7.58,8.58,,,
0808CS171032,5.53,5.6,7.17,7.13,8.08,,,
0808CS171033,7.53,6.47,7.54,7.29,8.25,,,
0808CS171034,8.07,6.87,7.75,5.83,8.38,,,
0808CS171036,7.6,7.2,7.75,7.63,8.5,,,
0808CS171037,7,5.93,8.08,,,,,
0808CS171038,6.93,6.4,7.46,7.29,7.71,,,
0808CS171039,7.07,6.47,7.67,7.13,8.08,,,
0808CS171041,7.6,6.4,7.92,6.88,7.96,,,
0808CS171042,6.33,6.87,7.17,7.21,8.29,,,
0808CS171043,6.73,5.93,6.75,7,7.25,,,
0808CS171044,6.07,5.2,6.67,6.08,7.63,,,
0808CS171045,6.8,6.8,7.42,7.29,8.04,,,
0808CS171046,7.4,6.13,6.88,6.92,7.75,,,
0808CS171047,7.47,7.2,7.71,7.96,8.33,,,
0808CS171048,6.53,7.47,7.92,7.83,8.38,,,
0808CS171049,4.8,6.27,6.29,4.88,7,,,
0808CS171050,6,5.27,6.88,5.96,7.08,,,
0808CS171051,6.87,6.4,7.29,6.13,7.17,,,
0808CS171052,5.87,6.4,7.25,6.88,7.71,,,
0808CS171053,7.93,7.13,8.42,8,9.04,,,
0808CS171054,6.73,7.13,7.79,7.04,7.79,,,
0808CS171055,6.27,6.87,6.92,6.46,7.25,,,
0808CS171056,7.07,7.8,7.96,7.21,8.08,,,
0808CS171057,7.47,7.6,7.96,7.92,8.63,,,
0808CS171058,7.53,8.13,7.92,7.75,8.71,,,
0808CS171059,5.93,6.87,6.96,7.29,7.79,,,
0808CS171060,5.47,7.27,7.17,7.29,7.71,,,
0808CS171061,7.6,7.07,7.63,7.88,8.54,,,
0808CS171062,7.07,7,6.92,7.5,8.58,,,
0808CS171063,5.13,5.33,6.33,7.08,7.21,,,
0808CS171064,8,7.4,7.96,7.88,8.33,,,
0808CS171065,7,6.6,7.33,7.5,8.17,,,
0808CS171066,7.67,8.13,7.71,7.92,8.75,,,
0808CS171067,8.2,8,8.17,8.63,8.67,,,
0808CS171068,7.67,7.67,7.21,7.08,9.08,,,
0808CS171069,7.2,6.67,7.46,7.38,7.79,,,
0808CS171070,7.33,7.47,,,,,,
0808CS171071,7.2,7.13,7.58,7.38,8.42,,,
0808CS171072,7.73,6.73,7.63,7.96,8.58,,,
0808CS171073,7.93,7.27,7.71,8.13,8.83,,,
0808CS171074,7.2,6.4,6.58,7.54,7.67,,,
0808CS171075,7.2,7.07,7.96,8.04,8.54,,,
0808CS171076,7.73,7.87,8.54,9.04,9.25,,,
0808CS171077,5.47,4.4,5.58,6.5,7.63,,,
0808CS171078,7.6,7.07,7.29,7.67,7.92,,,
0808CS171079,7.07,7.07,7.29,8.04,8.63,,,
0808CS171080,6.53,5.53,6.08,6.25,6.88,,,
0808CS171081,6.87,6.4,6.83,7.04,8.21,,,
0808CS171082,4.27,5.33,5.71,5.92,6.88,,,
0808CS171083,8.47,7.8,7.54,8.58,8.42,,,
0808CS171084,6.4,6,6.38,7.38,8.04,,,
0808CS171085,7.27,6.73,7.21,6.58,7.54,,,
0808CS171086,5.2,5.4,6.67,7.13,7.54,,,
0808CS171087,7.53,6.8,6.5,6.92,8.17,,,
0808CS171088,7.4,6.87,6.75,6.67,7.58,,,
0808CS171089,7.4,7.13,6.88,7.21,8.21,,,
0808CS171090,7.8,6.8,6.38,5.75,7.17,,,
0808CS171091,7.13,6.53,6.42,6.46,7.92,,,
0808CS171092,7.2,6.8,6.08,7.17,7.46,,,
0808CS171093,6.4,5.07,5.46,5,5.71,,,
0808CS171094,6.67,5.87,6.75,6.92,7.71,,,
0808CS171095,7.47,5.53,6.04,6.42,7.17,,,
0808CS171096,4.2,3.2,4.92,,,,,
0808CS171097,7.07,5.2,5.88,6.58,7.04,,,
0808CS171098,7.33,6.53,7.04,6.63,7.96,,,
0808CS171099,6.87,4.87,6.33,6.21,7.04,,,
0808CS171100,5.13,6.33,6.42,7.04,8,,,
0808CS171101,8.07,6.8,7.25,7.54,8.46,,,
0808CS171102,7.2,6.47,7.13,7.29,7.92,,,
0808CS171103,8.13,7.53,6.88,7.88,8.67,,,
0808CS171104,7.6,7.2,7.29,7.46,7.38,,,
0808CS171105,4.93,6.07,5.58,5.71,4.88,,,
0808CS171106,6.4,6.8,5.79,6.29,6.54,,,
0808CS171107,7.67,5.87,7,7.33,8.04,,,
0808CS171108,7.2,6.93,6.46,6.42,6.5,,,
0808CS171109,7.4,7.2,7.42,7.67,8.17,,,
0808CS171110,3.53,4.4,5.13,4.04,5.58,,,
0808CS171111,7.33,7.73,7.63,7,7.96,,,
0808CS171112,7,4.87,6.79,6.83,7.46,,,
0808CS171113,6.53,5.47,6.5,6.63,6.75,,,
0808CS171114,7.13,7,7.33,7.96,7.92,,,
0808CS171115,8.13,7.33,7.67,7.79,8.21,,,
0808CS171116,6,5.4,5.42,3.58,6.5,,,
0808CS171117,6,6.67,6.58,4.58,,,,
0808CS171118,7.53,7.2,7.5,7.21,8.13,,,
0808CS171119,8.2,,,,,,,
0808CS171120,6.6,7.53,7.75,8.04,8.04,,,
0808CS171121,5.53,5.8,6.13,5.92,6.75,,,
0808CS171122,9.2,8.87,8.58,8.79,8.54,,,
0808CS171123,7.8,8.2,8.17,8.54,8.54,,,
0808CS171124,7.73,7.93,6.92,8.54,8.75,,,
0808CS171126,5.87,6,6.38,6.13,7.13,,,
0808CS171127,7.47,7.67,7.79,8.5,8.33,,,
0808CS171128,6.4,6.73,7.17,7.13,7.17,,,
0808CS171129,5.8,6.73,6.88,7.5,7.79,,,
0808CS171130,6,6.2,6.29,7.04,8.08,,,
0808CS171131,4.53,2.13,6.92,,,,,
0808CS171132,2.33,1.53,,,,,,
0808CS171133,6.6,6.53,6.54,5.96,7.58,,,
0808CS171134,8.13,7.67,7.96,8.92,9.08,,,
0808CS171135,5.67,6.2,6.29,6.75,7.5,,,
0808CS171136,7.4,7.4,7.29,6.79,8.04,,,
s0808CS171137,6.07,,,,,,,
0808CS171138,6.53,4.67,5.38,6.13,6.42,,,
0808CS171139,7.2,6.33,6.96,8,8.96,,,
0808CS171140,5.87,5.4,6.67,6.17,7.79,,,
0808CS171141,8.13,7.53,8.67,8.75,9.21,,,
0808CS171142,7.47,7.67,7.88,7.88,7.96,,,
0808CS171143,8.27,8.4,7.92,7.92,8.08,,,
0808CS171144,4.87,5.07,6.25,6.13,7.29,,,
0808CS171145,7.07,5.6,6.67,7.08,7.63,,,
0808CS171146,3.53,2.87,5.04,,,,,
0808CS171147,4.67,3.6,5.46,5.21,7,,,
0808CS171148,7.67,7.27,7.17,7.96,8.46,,,
0808CS171149,7.07,6.87,6.75,7.13,7.88,,,
0808CS171150,6.6,6.13,6.79,7.58,8.33,,,
0808CS171151,5.27,3.67,5.88,5.92,7.08,,,
0808CS171152,6.2,5.73,5.75,6.21,6.5,,,
0808CS171153,7,5.53,7.17,7.21,8.21,,,
0808CS171154,7.2,4.93,5.75,6.29,3.92,,,
0808CS171155,8.8,8.27,7.96,8.33,8.46,,,
0808CS171156,6.93,6.2,7.21,7.71,8.75,,,
0808CS171157,7.2,6.6,7.38,7.58,8.13,,,
0808CS171158,3.27,,,,,,,
0808CS171159,7.87,6.67,6.67,8.17,8.83,,,
0808CS171160,4.6,3.07,5.46,3.42,6.46,,,
0808CS171161,6.87,6,6.21,6.13,7.38,,,
0808CS171162,6.07,5.67,5.92,6.29,7.04,,,
0808CS171163,7.4,7,7.08,6.79,7.79,,,
0808CS171164,8.2,6.8,8.04,,,,,
0808CS171165,6.67,7.47,7,7.54,7.71,,,
0808CS171166,8.47,7.33,7.83,8.63,8.63,,,
0808CS171167,6.8,6.2,6.92,7.08,7,,,
0808CS171168,7.53,7,7.46,7.88,7.96,,,
0808CS171169,6.73,5.87,5.96,6.58,7.25,,,
0808CS171170,5.33,4.67,5,6,6.79,,,
0808CS171171,6.73,4.93,6.46,6.54,7.25,,,
0808CS171172,6.2,5.53,6.08,6.58,7.17,,,
0808CS171173,7.8,6.6,6.83,7.46,7.58,,,
0808CS171174,6.07,4,,,,,,
0808CS171175,6.33,6.07,6.96,7.42,8.08,,,
0808CS171176,7.33,6,7.38,8,8.71,,,
0808CS171177,6.67,6.53,6.33,6.5,7.21,,,
0808CS171179,4.8,6.4,3.58,4.96,6.17,,,
0808CS171180,6.67,5.87,6.04,6.13,6.92,,,
0808CS171181,4.67,4.53,5.29,5.46,,,,
0808CS171182,7.93,7.13,7.33,8.25,7.88,,,
0808CS171183,7.87,7.33,7.38,7.79,7.33,,,
0808CO181001,5.1,5.52,6.67,,,,,
0808CO181002,6.71,7.62,7.83,,,,,
0808CO181003,6.14,6.38,6.67,,,,,
0808CO181004,6.76,6.48,6.75,,,,,
0808CO181005,6.48,7.05,7.33,,,,,
0808CO181006,6.19,6.38,6.42,,,,,
0808CO181008,4.33,6.48,6,,,,,
0808CO181009,4.38,6.52,6.33,,,,,
0808CO181010,6.86,6.9,7.04,,,,,
0808CO181011,1.81,4.38,5.38,,,,,
0808CO181012,5.38,7,6.88,,,,,
0808CO181013,6.71,6.95,7.21,,,,,
0808CO181014,7.62,8.81,9.25,,,,,
0808CO181015,7.05,7.62,7.88,,,,,
0808CO181016,6.95,8.1,8.42,,,,,
0808CO181017,6.9,7.19,7.96,,,,,
0808CO181018,7.38,6.19,7.63,,,,,
0808CO181019,3.1,5.52,6.46,,,,,
0808CO181020,7.14,7.43,8.21,,,,,
0808CO181021,5.71,6,7.38,,,,,
0808CO181022,2.48,4.38,5.92,,,,,
0808CO181023,4.48,4.19,6.04,,,,,
0808CO181024,7.67,7.67,8.38,,,,,
0808CO181025,6.86,6.33,6.79,,,,,
0808CO181026,7,6.81,6.58,,,,,
0808CO181027,5.19,5.52,5.96,,,,,
0808CO181028,5.86,6.67,7.21,,,,,
0808CO181029,7.86,7.05,8.67,,,,,
0808CO181030,8.38,7.81,7.83,,,,,
0808CO181032,7.67,7.71,7.92,,,,,
0808CO181033,8.1,7.05,6.96,,,,,
0808CO181034,7.05,7,8.46,,,,,
0808CO181035,7.38,6.9,7.58,,,,,
0808CO181036,8.52,7.05,7.96,,,,,
0808CO181037,6.95,6.95,6.75,,,,,
0808CO181038,6.48,5.9,7,,,,,
0808CO181039,5.43,5.86,5.88,,,,,
0808CO181040,4.62,6.33,6,,,,,
0808CO181041,7.19,6.81,7.29,,,,,
0808CO181043,7.52,7.48,7.79,,,,,
0808CO181044,8.24,7.52,8.17,,,,,
0808CO181045,6.52,6.57,7.21,,,,,
0808CO181046,4,4.43,5.21,,,,,
0808CO181047,8.19,7.1,7.38,,,,,
0808CO181048,6.76,6.48,6.25,,,,,
0808CO181049,7.52,7.19,7.17,,,,,
0808CS181001,8,7.95,8.67,,,,,
0808CS181002,7.67,7.19,6.88,,,,,
0808CS181003,7.81,7.05,6.88,,,,,
0808CS181004,6.67,6.81,7.33,,,,,
0808CS181005,4.62,5.52,5.75,,,,,
0808CS181006,6.81,6.71,7.92,,,,,
0808CS181007,5.29,3,5.46,,,,,
0808CS181008,6.3,6.52,6.63,,,,,
0808CS181009,7.67,7.14,8.04,,,,,
0808CS181010,6.29,4.62,6.71,,,,,
0808CS181011,7,6.86,7.58,,,,,
0808CS181012,8.05,7.33,8.58,,,,,
0808CS181013,7.86,7.71,7.75,,,,,
0808CS181014,7.76,7.67,7.96,,,,,
0808CS181015,6,3.86,5.21,,,,,
0808CS181016,8.19,7.24,7.58,,,,,
0808CS181017,7.29,6.05,7.38,,,,,
0808CS181018,7.14,5.52,6.58,,,,,
0808CS181020,4.71,2.9,6.5,,,,,
0808CS181021,7.67,7.52,8.79,,,,,
0808CS181022,5.62,5.62,6.13,,,,,
0808CS181023,6.67,6.95,8.21,,,,,
0808CS181024,6.5,4.62,6.08,,,,,
0808CS181025,3.14,5.43,5.92,,,,,
0808CS181026,6,6.38,6.29,,,,,
0808CS181027,6.48,6.14,7,,,,,
0808CS181028,6.19,5.29,7.17,,,,,
0808CS181029,7.67,7.29,8.17,,,,,
0808CS181030,6.14,5.81,6.63,,,,,
0808CS181031,5.19,6.33,6.46,,,,,
0808CS181032,7.71,7.24,7.67,,,,,
0808CS181033,7.33,7.33,6.29,,,,,
0808CS181034,7.67,7.43,7.5,,,,,
0808CS181035,7.76,7.29,7.71,,,,,
0808CS181036,6.14,6.48,7,,,,,
0808CS181037,7.1,6.14,5.5,,,,,
0808CS181038,7.95,7.33,7.29,,,,,
0808CS181039,8,7.62,7.71,,,,,
0808CS181040,7.43,6.38,6.75,,,,,
0808CS181041,6.86,7.05,7.17,,,,,
0808CS181042,7.43,7.38,7.46,,,,,
0808CS181045,6.9,6.86,7.92,,,,,
0808CS181046,7.14,6.48,6.46,,,,,
0808CS181047,7.14,6,6.46,,,,,
0808CS181048,7.1,7.52,7.79,,,,,
0808CS181049,5.86,4.95,5.38,,,,,
0808CS181050,7,6.76,7.33,,,,,
0808CS181051,7.29,7.52,7.54,,,,,
0808CS181052,6.67,7,6.67,,,,,
0808CS181053,6.62,6.71,6.83,,,,,
0808CS181054,6.1,6.05,6.63,,,,,
0808CS181055,8.1,7.38,7.33,,,,,
0808CS181056,6,5.71,6.13,,,,,
0808CS181057,7.57,6.62,7.08,,,,,
0808CS181058,8.14,8.14,8.71,,,,,
0808CS181059,5.45,6,5.58,,,,,
0808CS181060,8.1,7.57,7.54,,,,,
0808CS181061,5.38,6.29,6.63,,,,,
0808CS181097,7,7.14,7.96,,,,,
0808CS181063,8.05,7.86,8.38,,,,,
0808CS181064,4.38,3.95,6.83,,,,,
0808CS181065,7.67,7.86,7.29,,,,,
0808CS181066,6.71,7,6.71,,,,,
0808CS181067,7.05,6.67,7.58,,,,,
0808CS181068,6.71,6.9,7.21,,,,,
0808CS181069,5.57,5.38,6.75,,,,,
0808CS181070,7.24,7.52,8,,,,,
0808CS181071,7.38,7.33,6.83,,,,,
0808CS181072,6.9,5.81,7.13,,,,,
0808CS181073,7.71,7.95,7.38,,,,,
0808CS181074,6.24,5.81,6.21,,,,,
0808CS181075,6.33,6.14,7.17,,,,,
0808CS181077,5.52,3.67,5.79,,,,,
0808CS181078,6.71,6.67,7.88,,,,,
0808CS181079,6.05,6.29,6.83,,,,,
0808CS181080,4.43,3.19,6.83,,,,,
0808CS181081,7.9,8.24,8.13,,,,,
0808CS181082,8.38,8.48,9.21,,,,,
0808CS181083,4.38,2.48,5.71,,,,,
0808CS181084,4.71,5.71,6.17,,,,,
0808CS181085,7,7.24,7.38,,,,,
0808CS181086,4.95,6.57,5.88,,,,,
0808CS181087,3.95,4.24,5.67,,,,,
0808CS181088,6.29,6.29,5.67,,,,,
0808CS181089,3.9,3.57,5.42,,,,,
0808CS181090,7.19,5.95,6.13,,,,,
0808CS181091,5.43,6.1,6.71,,,,,
0808CS181092,7.95,7.1,7.88,,,,,
0808CS181093,7.57,4.52,7.5,,,,,
0808CS181094,5.24,4.24,5.83,,,,,
0808CS181095,7.81,7.38,7.83,,,,,
0808CS181096,7.52,6.19,7.25,,,,,
0808CS181099,7.86,8.48,8.5,,,,,
0808CS181100,7,6.71,8.25,,,,,
0808CS181101,6.81,6.48,8.38,,,,,
0808CS181102,7.71,7.19,7.67,,,,,
0808CS181103,6.9,6.76,7,,,,,
0808CS181104,6.95,7.38,7.54,,,,,
